
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:03      touched on :(280.0, 898.0)
td 16:34:03      touched on :(403.0, 909.0)
td 16:34:03      touched on :(232.0, 836.0000000000001)
td 16:34:03      touched on :(221.0, 789.0000000000001)
td 16:34:03      touched on :(328.0, 816.0)
td 16:34:03      touched on :(208.0, 760.0)
td 16:34:03      touched on :(255.0, 673.9999999999999)
td 16:34:03      touched on :(349.0, 654.9999999999999)
td 16:34:03      touched on :(430.0, 651.9999999999999)
td 16:34:03      touched on :(359.0, 704.0)
td 16:34:03      touched on :(414.0, 803.0)
td 16:34:04      touched on :(461.0, 848.0)
td 16:34:04      touched on :(414.0, 910.0)
td 16:34:04      touched on :(564.0, 926.0)
td 16:34:04      touched on :(392.0, 996.0000000000001)
td 16:34:04      touched on :(413.0, 1049.0)
td 16:34:04      touched on :(245.99999999999997, 1046.0)
td 16:34:04      touched on :(258.0, 1103.0)
td 16:34:04      touched on :(219.0, 1087.0)
td 16:34:04      touched on :(259.0, 1103.0)
td 16:34:04      touched on :(162.0, 1100.0)
td 16:34:04      touched on :(76.0, 1063.0)
td 16:34:04      touched on :(28.0, 1003.0)
td 16:34:04      touched on :(60.0, 969.0)
td 16:34:04      touched on :(97.0, 886.0)
td 16:34:04      touched on :(126.0, 855.0)
td 16:34:04      touched on :(65.0, 794.0)
td 16:34:04      touched on :(55.0, 648.9999999999999)
td 16:34:04      touched on :(15.0, 527.0)
td 16:34:04      touched on :(219.0, 519.0)
td 16:34:04      touched on :(16.0, 427.99999999999994)
td 16:34:04      touched on :(38.0, 451.00000000000006)
td 16:34:04      touched on :(140.0, 421.0)
td 16:34:04      touched on :(0.0, 309.0)
td 16:34:04      touched on :(81.0, 383.0)
td 16:34:04      touched on :(138.0, 538.0)
td 16:34:04      touched on :(94.0, 770.0000000000001)
td 16:34:04      touched on :(88.0, 871.9999999999999)
td 16:34:04      touched on :(92.0, 980.0)
td 16:34:04      touched on :(28.0, 876.0)
td 16:34:04      touched on :(24.0, 896.9999999999999)
td 16:34:04      touched on :(56.0, 957.0)
td 16:34:04      touched on :(105.0, 1004.0)
td 16:34:04      touched on :(49.0, 825.0)
td 16:34:04      touched on :(48.0, 773.0)
td 16:34:04      touched on :(56.0, 724.0)
td 16:34:04      touched on :(15.0, 577.0)
td 16:34:04      touched on :(15.0, 504.99999999999994)
td 16:34:04      touched on :(213.0, 569.0)
td 16:34:04      touched on :(106.0, 540.0)
td 16:34:05      touched on :(15.0, 575.0)
td 16:34:05      touched on :(114.0, 672.0)
td 16:34:05      touched on :(106.0, 766.0)
td 16:34:05      touched on :(15.0, 582.0)
td 16:34:05      touched on :(132.0, 896.0)
